,x
1162,-0.25
1163,0
1164,-1
1165,0
1166,-0.75
1167,0
1168,0
1169,-2.8
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0.4
1181,0
1182,0
1183,-1
1184,0.35
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,-2.5
1192,0
1193,0
1194,-1.6
1195,-0.85
1196,0.05
1197,0.4
1198,0
1199,0.4
1200,0
1201,0
1202,-0.75
1203,0
1204,0
1205,0
1206,0
1207,0
1208,-0.9
1209,0
1210,0
1211,0
1212,-0.6
1213,0.4
1214,0.2
1215,0
1216,1.3
1217,0
1218,0.5
1219,0
1220,0
1221,0
1222,-0.1
1223,-0.25
1224,0
1225,0
1226,-0.5
1227,0
1228,0
1229,0
1230,0
1231,0
1232,0
1233,0
1234,0
1235,0
1236,-0.5
1237,0
1238,0
1239,-1.75
1240,0
1241,0
1242,0
1243,0
1244,0
1245,0
1246,-0.5
1247,2.15
1248,0
1249,0
1250,-1.25
1251,0
1252,0
1253,0
1254,0.5
1255,0
1256,0
1257,0
1258,0
1259,0
1260,-0.25
1261,-0.25
1262,0
1263,1.3
1264,0
1265,0
1266,0
1267,-0.8
1268,-0.25
1269,-0.8
1270,0
1271,0.25
1272,0
1273,0
1274,-0.5
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,-1.05
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,-0.25
1289,0
1290,0.5
1291,0
1292,0
1293,0
1294,-1
1295,0
1296,0
1297,0
1298,0
1299,0
1300,1.55
1301,0
1302,0
1303,0
1304,-0.25
1305,0
1306,-0.6
1307,0
1308,0
1309,0
1310,0.25
1311,0
1312,0.25
1313,0
1314,0
1315,-0.75
1316,-0.35
1317,0.25
1318,0.25
1319,0
1320,0
1321,0
1322,-1
1323,-1.65
1324,0
1325,0.15
1326,0
1327,0
1328,0
1329,-0.75
1330,-1.25
1331,1.15
1332,2.45
1333,-0.6
1334,0
1335,0
1336,0
1337,0.6
1338,-0.1
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,-0.75
